"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Germany","DEU","Presence of peace keepers (number of troops, police, and military observers in mandate)","VC.PKP.TOTL.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.7","1.7","1.6","1.7","1.7","1.5","1.4","1.2","1.2","1.2","1.1","1.2","1.1","1.1","1.1","1","0.9","0.9","1","1","0.9","0.8","0.8","0.9","0.8","1.2","1","","",
"Germany","DEU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","1.3","1.2","1.2","1.2","1.1","1","1","1.1","1","1","0.9","0.9","0.9","0.9","1.2","1.1","","",
"Germany","DEU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","0.9","1.1","0.9","1","0.9","0.9","0.9","0.8","0.9","1","0.8","0.7","0.8","0.8","0.8","1.1","0.9","","",
"Germany","DEU","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53000","","","2000","220","510","",
"Germany","DEU","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","38.7108258582483","40.2019584982767","39.9260981438385","35.5098948196637","32.3650173570665","22.4548636674245","22.8124590629609","22.5450196019893","22.6845366394205","22.4814927824322","20.8254128861797","19.1426521455789","21.739756942172","22.522296437509","24.4885887215241","26.0616499718107","27.4222780532124","28.2349634177542","27.5316917366144","29.1083563944923","30.715675837371","29.0882243550008","28.402123201878","27.4301814858926","26.6371039983062","25.5953981533054","24.7014779228301","23.7993694610724","23.8344707593561","23.9063639731652","22.9958641980768","20.7917899697735","20.5276822759743","19.2061896024646","18.622775454562","18.4550447701345","17.3477211198535","16.6887637392028","15.6790741008293","15.2939866618358","15.5374223918009","15.1705381480437","15.2175152471965","14.5417628373743","13.3955916739796","13.0637848702611","12.7102366394512","12.723110537822","",
"Germany","DEU","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","","22.110223372662","20.9307680476583","21.0592407356745","21.6273890237393","22.0098515437214","39.6760480306072","39.4489595790867","37.4751030559474","38.9173666514475","34.775642530164","36.0510130572431","34.6139723068884","34.4793782484821","35.3833073925335","35.0140218533968","32.6721402841978","31.186140884811","32.8368612342047","31.8417161158886","32.740090984611","27.7654646256243","27.3797381131736","27.2181775245645","27.6014528172153","25.5253622985445","25.7672596430187","24.4099889871562","23.5987443196792","23.5843164830166","23.1634608131821","24.3497983681043","23.1540599875396","21.814061504512","21.986886016177","23.8841965990087","23.5402688993451","24.3921073205937","25.5306606455585","22.751632101579","24.6341945494482","23.847167346901","22.6399006204939","22.3039140787885","20.7738342464298","20.528783387405","19.2303441665085","19.8264601035452","20.5842021494742","",
"Germany","DEU","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4971777148624","15.1345968382954","16.8817576481787","17.0072610557081","16.4490233716204","17.3581600192975","17.3861678388803","17.2799861451508","17.8930419363633","18.0640023840881","15.9023791824935","15.7425039935457","",
"Germany","DEU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169887312000","183535525092","159207939862","180522971795","203237045896","204071158697","210021104939","216162647850","199797306303","204384737925","196321185995","209610181434","",
"Germany","DEU","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","3440748542.75956","4010309307.36628","4958086986.13126","5800906893.51393","7722209511.99817","12423966824.6218","14262255592.4726","17546168578.0958","20571650150.7158","26422732158.8195","24594310700.0066","25259713827.1414","23377899702.0895","22212752034.0033","23308003738.3487","29965868526.2445","36298756074.9343","37265102319.4841","39782705380.1877","49229923924.0779","48422790722.9097","54652440197.5532","52543758089.3246","54685450246.2625","67708618619.3419","68826382620.0777","71664436413.4239","77166372250.1726","76484437380.8792","77850959146.0149","78430185940.0274","92810961104.917","112744860776.847","143878237524.099","156316630554.089","178287509638.317","208062334310.502","239209148983.742","221643978058.971","225953634606.637","250544090011.992","250841690915.326","271284412518.063","297604175003.728","275426913092.762","286873034771.175","314793959413.523","337142150590.156","",
"Germany","DEU","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","39.1789507690896","38.867273454065","39.014661120487","42.8627161565969","45.6251310992121","36.704220108935","36.4038271709383","38.7097085184392","37.1269505892986","41.4221675592583","41.5087112075053","44.7329249448396","42.8144318761001","41.0305560104675","39.5648641647554","37.828620467922","37.613482322096","35.3042682783348","38.2819701673591","37.1425009474959","32.9489632886493","34.5882299020817","34.1186873740751","35.3838047296776","37.7493371706242","37.4118746395904","38.9472909915965","40.1524424311788","39.6011901124325","40.3829804494727","42.7638081467443","40.9836044274696","44.6273106869489","43.369862117215","44.1951828672747","43.209523319671","43.4437017146107","43.373936476562","44.9625923300106","45.6386266884718","46.6837541180324","47.4850792004793","49.2527184470427","52.1969425972567","53.5093765333709","55.1524983679179","55.6365958078424","55.2194973855543","",
"Germany","DEU","Export value index (2000 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.1047807","95.18168181","93.18230519","98.6874639","98.83763889","100","103.8510246","111.8782578","136.5362817","165.2995727","176.386484","201.310237","240.0255566","262.7266251","203.4782923","228.7092491","267.7795346","254.5407903","262.5004999","271.4546009","240.9323647","242.4129608","263.0934904","283.5236418","",
"Germany","DEU","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
