"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Sweden","SWE","Child employment in services (% of economically active children ages 7-14)","SL.SRV.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Child employment in services, female (% of female economically active children ages 7-14)","SL.SRV.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Children in employment, self-employed, male (% of male children in employment, ages 7-14)","SL.SLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Child employment in manufacturing (% of economically active children ages 7-14)","SL.MNF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Informal employment (% of total non-agricultural employment)","SL.ISV.IFRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Informal employment, male (% of total non-agricultural employment)","SL.ISV.IFRM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Informal employment, female (% of total non-agricultural employment)","SL.ISV.IFRM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9370002746582","25.4729995727539","25.261999130249","25.2940006256104","25.4650001525879","25.8619995117188","25.5540008544922","25.8899993896484","24.9979991912842","24.371000289917","23.7469997406006","22.9650001525879","22.5949993133545","22.3649997711182","22.0419998168945","21.9130001068115","21.6459999084473","21.326000213623","20.1590003967285","19.9029998779297","19.9249992370605","19.6450004577637","19.1609992980957","18.6030006408691","18.2880001068115","18.2000007629395","18.1650009155273","17.9780006408691","17.8110008239746",
"Sweden","SWE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7919998168945","38.3139991760254","38.0429992675781","37.9780006408691","38.1570014953613","38.7019996643066","38.2050018310547","37.875","37.3849983215332","36.2480010986328","35.2490005493164","34.5800018310547","34.3289985656738","34.0260009765625","33.5929985046387","33.2849998474121","32.9230003356934","33.0320014953613","31.4729995727539","30.8659992218018","31.0270004272461","30.4449996948242","29.5009994506836","28.9860000610352","28.6909999847412","28.5230007171631","28.2810001373291","28.0580005645752","27.8369998931885",
"Sweden","SWE","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8599996566772","11.6669998168945","11.6499996185303","11.6029996871948","11.6470003128052","12","11.7410001754761","12.746000289917","11.581000328064","11.4630002975464","11.1619997024536","10.3269996643066","9.89799976348877","9.66699981689453","9.30700016021729","9.27499961853027","9.11200046539307","8.26299953460693","7.68900012969971","7.6269998550415","7.5789999961853","7.74399995803833","7.75600004196167","7.19500017166138","6.91200017929077","6.9520001411438","7.10900020599365","6.98799991607666","6.875",
"Sweden","SWE","GDP per person employed (constant 2011 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57181.28125","59074.98046875","61436.0625","64529.42578125","65914.6875","67423.8359375","70390.515625","72433.78125","74233.9609375","76551.7421875","76412.2890625","77943.6328125","79870.1328125","84072.8125","85737.609375","88128.6640625","88861.46875","87200.5703125","84334.4609375","89010.5625","89535.90625","88769.1328125","88870.5625","90521.2265625","93596.8046875","95488.15625","96448.578125","98264.890625","100078.390625",
"Sweden","SWE","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.558000028133392","0.568000018596649","0.584999978542328","0.556999981403351","0.528999984264374","0.546999990940094","0.505999982357025","0.513999998569489","0.521000027656555","0.469999998807907","0.453999996185303","0.46900001168251","0.414000004529953","0.442999988794327","0.33500000834465","0.273999989032745","0.284000009298325","0.254999995231628","0.214000001549721","0.250999987125397","0.206000000238419","0.234999999403954","0.216999992728233","0.216999992728233","0.24600000679493","0.256000012159348","0.252999991178513","0.244000002741814","0.237000003457069",
"Sweden","SWE","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462999999523163","0.469999998807907","0.483000010251999","0.46000000834465","0.437000006437302","0.488999992609024","0.486000001430511","0.451999992132187","0.368000000715256","0.657999992370605","0.409000009298325","0.488000005483627","0.451999992132187","0.485000014305115","0.344999998807907","0.314999997615814","0.289000004529953","0.232999995350838","0.187000006437302","0.26800000667572","0.212999999523163","0.215000003576279","0.219999998807907","0.207000002264977","0.243000000715256","0.239999994635582","0.252000004053116","0.241999998688698","0.236000001430511",
